event,run,cluster_size
99685,1002,4
100494,1002,5
102573,1002,6
103076,1002,5
104159,1002,3
104168,1002,2
104882,1002,6
104984,1002,5
106090,1002,3
107046,1002,6
107719,1002,7
107785,1002,3
108834,1002,6
109048,1002,5
109272,1002,2
109513,1002,6
110647,1002,4
110692,1002,5
111315,1002,3
111582,1002,4
112004,1002,6
112539,1002,7
113521,1002,3
113678,1002,5
114201,1002,6
114980,1002,3
116129,1002,3
116209,1002,6
117862,1002,3
119307,1002,4
121543,1002,9
122335,1002,4
122671,1002,7
122770,1002,4
124070,1002,5
124671,1002,4
124744,1002,5
127229,1002,4
127669,1002,3
127787,1002,6
128877,1002,4
129106,1002,6
130842,1002,8
131085,1002,6
132334,1002,3
132846,1002,4
133033,1002,3
133139,1002,3
133669,1002,8
134609,1002,8
134731,1002,3
135258,1002,2
135886,1002,4
137425,1002,3
139243,1002,2
139961,1002,3
140267,1002,6
140656,1002,6
141012,1002,5
142066,1002,5
142460,1002,4
143177,1002,6
144208,1002,2
144559,1002,7
145500,1002,6
146238,1002,5
146339,1002,5
149733,1002,3
149864,1002,3
151652,1002,4
154154,1002,1
155166,1002,4
157354,1002,7
158145,1002,5
160451,1002,7
161163,1002,3
162302,1002,5
163766,1002,4
164564,1002,1
165071,1002,5
165110,1002,2
165607,1002,10
166283,1002,2
166371,1002,5
167675,1002,3
167820,1002,5
171475,1002,5
171870,1002,4
172745,1002,6
172897,1002,9
174481,1002,3
174665,1002,3
175849,1002,4
175927,1002,3
176378,1002,4
176426,1002,4
177646,1002,4
179085,1002,4
179102,1002,7
179181,1002,5
180023,1002,7
180373,1002,9
182296,1002,6
182751,1002,4
183475,1002,4
183846,1002,3
184312,1002,5
185008,1002,6
185070,1002,7
186342,1002,5
187148,1002,5
188014,1002,9
188451,1002,6
189393,1002,3
190064,1002,4
190926,1002,5
193581,1002,4
193782,1002,6
194091,1002,6
194134,1002,6
194545,1002,6
194997,1002,3
195123,1002,3
196229,1002,4
196411,1002,3
197294,1002,3
197956,1002,4
690,1002,6
1121,1002,6
1600,1002,4
2152,1002,7
2389,1002,6
3633,1002,5
4351,1002,4
4917,1002,3
8060,1002,5
9221,1002,4
9863,1002,5
10580,1002,3
11067,1002,4
11807,1002,4
13500,1002,5
14324,1002,5
15518,1002,6
16204,1002,4
16245,1002,5
16279,1002,6
16408,1002,3
17708,1002,3
18317,1002,5
18912,1002,6
20130,1002,5
20268,1002,6
20534,1002,2
21732,1002,2
21803,1002,5
22057,1002,4
22440,1002,7
22555,1002,4
22689,1002,5
23010,1002,4
23965,1002,3
25195,1002,5
26383,1002,5
27167,1002,6
28940,1002,4
29295,1002,6
29344,1002,5
29676,1002,3
31264,1002,5
33941,1002,6
34033,1002,6
34061,1002,3
34908,1002,3
35706,1002,4
36116,1002,4
36146,1002,5
36571,1002,4
36896,1002,9
37008,1002,5
37853,1002,7
37909,1002,4
39993,1002,5
41111,1002,5
41228,1002,6
41411,1002,4
42877,1002,2
43161,1002,6
43247,1002,3
43725,1002,3
43991,1002,5
45332,1002,4
45353,1002,5
46186,1002,7
47457,1002,5
47687,1002,1
48007,1002,4
48272,1002,3
49110,1002,5
50163,1002,5
52108,1002,5
52432,1002,7
53344,1002,5
54354,1002,3
55967,1002,4
56098,1002,6
56876,1002,3
57374,1002,5
57732,1002,5
58488,1002,7
58774,1002,7
59406,1002,3
60449,1002,5
62509,1002,5
62850,1002,4
63268,1002,4
65160,1002,5
66719,1002,5
66768,1002,3
67078,1002,3
67480,1002,4
68274,1002,1
70036,1002,8
70229,1002,3
70501,1002,3
71858,1002,3
71961,1002,5
72395,1002,4
72842,1002,7
73304,1002,3
73787,1002,11
75159,1002,4
75529,1002,4
78570,1002,1
79103,1002,5
80373,1002,7
80901,1002,5
80937,1002,4
81511,1002,6
82916,1002,7
82984,1002,5
83807,1002,6
84089,1002,3
84456,1002,5
84806,1002,2
86222,1002,3
86772,1002,7
89244,1002,4
90411,1002,8
90728,1002,4
92219,1002,2
92415,1002,6
92696,1002,5
92783,1002,6
93309,1002,4
93765,1002,6
93863,1002,5
94374,1002,4
94726,1002,2
95269,1002,7
95966,1002,7
97518,1002,6
100802,1002,7
100960,1002,6
101825,1002,5
102431,1002,4
102455,1002,5
102590,1002,7
102640,1002,4
102640,1002,4
103279,1002,3
104050,1002,3
106139,1002,4
106561,1002,3
107616,1002,3
107937,1002,6
108345,1002,3
108842,1002,3
110169,1002,4
111016,1002,5
112250,1002,5
113827,1002,5
114702,1002,9
114818,1002,12
115546,1002,7
115579,1002,5
117061,1002,3
119053,1002,4
121596,1002,3
121646,1002,4
121646,1002,4
124457,1002,5
124875,1002,5
126765,1002,7
127451,1002,3
128292,1002,6
129833,1002,4
133150,1002,5
134832,1002,5
136516,1002,3
136599,1002,6
137108,1002,5
139793,1002,4
141003,1002,2
141920,1002,2
144583,1002,1
145068,1002,6
145199,1002,2
145679,1002,4
146366,1002,5
147418,1002,4
147706,1002,4
147988,1002,5
148918,1002,2
151097,1002,6
152199,1002,6
152834,1002,7
153686,1002,5
154405,1002,4
154500,1002,4
158336,1002,4
158826,1002,3
160974,1002,5
162024,1002,4
162688,1002,8
163818,1002,7
164721,1002,6
164758,1002,6
164780,1002,8
164975,1002,4
165797,1002,8
165938,1002,4
166304,1002,3
169097,1002,4
170102,1002,4
170180,1002,4
170359,1002,5
170500,1002,8
170717,1002,4
172485,1002,4
173443,1002,8
174663,1002,8
174736,1002,9
174862,1002,6
174914,1002,5
175479,1002,4
175843,1002,6
177548,1002,4
178159,1002,5
181478,1002,4
181779,1002,6
182335,1002,4
182744,1002,5
183354,1002,3
183908,1002,5
186178,1002,2
186575,1002,4
186684,1002,8
189422,1002,2
189714,1002,3
189828,1002,4
190058,1002,7
190670,1002,3
191077,1002,3
191397,1002,3
191705,1002,7
192171,1002,6
194641,1002,4
194723,1002,3
196323,1002,5
196994,1002,3
197767,1002,4
198753,1002,4
199462,1002,2
199934,1002,4
